price,qty,side,timestamp
106995.44,6.44778,buy,2025-07-02 07:52:09.600172
106995.27,0.0001,buy,2025-07-02 07:52:09.600172
106995.26,0.07106,buy,2025-07-02 07:52:09.600172
106995.0,0.0006,buy,2025-07-02 07:52:09.600172
106994.83,0.0001,buy,2025-07-02 07:52:09.600172
106994.82,0.17015,buy,2025-07-02 07:52:09.600172
106994.64,0.0001,buy,2025-07-02 07:52:09.600172
106994.63,0.17005,buy,2025-07-02 07:52:09.600172
106994.55,0.0001,buy,2025-07-02 07:52:09.600172
106994.54,0.17012,buy,2025-07-02 07:52:09.600172
106994.5,0.00025,buy,2025-07-02 07:52:09.600172
106994.4,0.0014,buy,2025-07-02 07:52:09.600172
106994.3,0.0004,buy,2025-07-02 07:52:09.600172
106994.29,0.64002,buy,2025-07-02 07:52:09.600172
106994.28,0.16998,buy,2025-07-02 07:52:09.600172
106994.12,5e-05,buy,2025-07-02 07:52:09.600172
106994.0,0.00025,buy,2025-07-02 07:52:09.600172
106993.6,0.00035,buy,2025-07-02 07:52:09.600172
106993.5,0.00025,buy,2025-07-02 07:52:09.600172
106993.3,0.00049,buy,2025-07-02 07:52:09.600172
106993.05,5e-05,buy,2025-07-02 07:52:09.600172
106993.0,0.00025,buy,2025-07-02 07:52:09.600172
106992.96,0.06967,buy,2025-07-02 07:52:09.600172
106992.91,0.16998,buy,2025-07-02 07:52:09.600172
106992.9,0.00035,buy,2025-07-02 07:52:09.600172
106992.5,0.00025,buy,2025-07-02 07:52:09.600172
106992.46,0.00132,buy,2025-07-02 07:52:09.600172
106992.45,0.33649,buy,2025-07-02 07:52:09.600172
106992.2,0.00035,buy,2025-07-02 07:52:09.600172
106992.0,0.00025,buy,2025-07-02 07:52:09.600172
106991.51,0.0002,buy,2025-07-02 07:52:09.600172
106991.5,0.0006,buy,2025-07-02 07:52:09.600172
106991.0,0.00025,buy,2025-07-02 07:52:09.600172
106990.92,5e-05,buy,2025-07-02 07:52:09.600172
106990.42,0.16988,buy,2025-07-02 07:52:09.600172
106990.09,0.18698,buy,2025-07-02 07:52:09.600172
106989.98,0.33639,buy,2025-07-02 07:52:09.600172
106989.95,0.24084,buy,2025-07-02 07:52:09.600172
106989.94,0.12779,buy,2025-07-02 07:52:09.600172
106989.88,0.00562,buy,2025-07-02 07:52:09.600172
106989.65,0.10471,buy,2025-07-02 07:52:09.600172
106989.51,5e-05,buy,2025-07-02 07:52:09.600172
106989.5,0.00025,buy,2025-07-02 07:52:09.600172
106989.4,0.00035,buy,2025-07-02 07:52:09.600172
106989.3,0.50005,buy,2025-07-02 07:52:09.600172
106989.01,0.16404,buy,2025-07-02 07:52:09.600172
106989.0,0.00025,buy,2025-07-02 07:52:09.600172
106988.88,0.01823,buy,2025-07-02 07:52:09.600172
106988.7,0.00035,buy,2025-07-02 07:52:09.600172
106988.54,0.002,buy,2025-07-02 07:52:09.600172
106988.5,0.00025,buy,2025-07-02 07:52:09.600172
106988.42,0.30761,buy,2025-07-02 07:52:09.600172
106988.32,0.00105,buy,2025-07-02 07:52:09.600172
106988.0,0.0006,buy,2025-07-02 07:52:09.600172
106987.5,0.00025,buy,2025-07-02 07:52:09.600172
106987.42,0.00089,buy,2025-07-02 07:52:09.600172
106987.3,0.00035,buy,2025-07-02 07:52:09.600172
106987.0,0.00025,buy,2025-07-02 07:52:09.600172
106986.74,0.3364,buy,2025-07-02 07:52:09.600172
106986.6,0.00035,buy,2025-07-02 07:52:09.600172
106986.5,0.00025,buy,2025-07-02 07:52:09.600172
106986.45,0.00846,buy,2025-07-02 07:52:09.600172
106986.0,0.00153,buy,2025-07-02 07:52:09.600172
106985.9,0.00167,buy,2025-07-02 07:52:09.600172
106985.62,0.0707,buy,2025-07-02 07:52:09.600172
106985.5,0.00025,buy,2025-07-02 07:52:09.600172
106985.45,5e-05,buy,2025-07-02 07:52:09.600172
106985.2,0.00035,buy,2025-07-02 07:52:09.600172
106985.0,0.00025,buy,2025-07-02 07:52:09.600172
106984.96,0.33641,buy,2025-07-02 07:52:09.600172
106984.74,0.00233,buy,2025-07-02 07:52:09.600172
106984.5,0.0006,buy,2025-07-02 07:52:09.600172
106984.25,0.09346,buy,2025-07-02 07:52:09.600172
106984.19,0.17128,buy,2025-07-02 07:52:09.600172
106984.0,0.00025,buy,2025-07-02 07:52:09.600172
106983.8,0.00035,buy,2025-07-02 07:52:09.600172
106983.5,0.00025,buy,2025-07-02 07:52:09.600172
106983.39,0.41667,buy,2025-07-02 07:52:09.600172
106983.1,0.00035,buy,2025-07-02 07:52:09.600172
106983.0,0.00025,buy,2025-07-02 07:52:09.600172
106982.54,0.03739,buy,2025-07-02 07:52:09.600172
106982.5,0.00025,buy,2025-07-02 07:52:09.600172
106982.4,0.00035,buy,2025-07-02 07:52:09.600172
106982.0,0.00025,buy,2025-07-02 07:52:09.600172
106981.84,5e-05,buy,2025-07-02 07:52:09.600172
106981.74,0.00467,buy,2025-07-02 07:52:09.600172
106981.72,0.00075,buy,2025-07-02 07:52:09.600172
106981.7,0.00035,buy,2025-07-02 07:52:09.600172
106981.5,0.00025,buy,2025-07-02 07:52:09.600172
106981.38,5e-05,buy,2025-07-02 07:52:09.600172
106981.27,0.00089,buy,2025-07-02 07:52:09.600172
106981.18,0.0001,buy,2025-07-02 07:52:09.600172
106981.0,0.0006,buy,2025-07-02 07:52:09.600172
106980.66,8e-05,buy,2025-07-02 07:52:09.600172
106980.5,0.00025,buy,2025-07-02 07:52:09.600172
106980.3,0.00035,buy,2025-07-02 07:52:09.600172
